date,open,high,low,close,volume,amount,pct_chg
2025-07-01,244.59,244.83,241.97,243.59,95323,2325207.0,-0.41
2025-07-02,243.59,244.1,241.28,242.54,115714,2806743.0,-0.43
2025-07-03,243.56,255.3,242.68,254.68,338037,8609358.0,5.01
2025-07-04,257.1,262.07,253.07,257.89,272060,7036420.0,1.26
2025-07-07,257.89,260.97,250.97,252.98,174665,4433417.0,-1.9
2025-07-08,252.79,257.99,251.91,255.4,155923,3981945.0,0.96
2025-07-09,254.29,266.55,254.19,262.89,293884,7720911.0,2.93
2025-07-10,267.08,267.08,260.59,264.09,242393,6373550.0,0.46
2025-07-11,263.59,266.09,262.19,263.59,213282,5623100.0,-0.19
2025-07-14,263.09,263.41,258.19,260.59,149789,3895710.0,-1.14
2025-07-15,260.59,264.59,258.09,259.84,169526,4398430.0,-0.29
2025-07-16,260.59,260.79,255.13,256.49,156265,4010120.0,-1.29
2025-07-17,257.46,259.84,256.45,257.59,145110,3735230.0,0.43
2025-07-18,260.79,264.54,257.89,263.29,221866,5831530.0,2.21
2025-07-21,269.09,274.09,265.64,271.75,324863,8816190.0,3.21
2025-07-22,272.09,282.09,271.27,278.75,333090,9287540.0,2.58
2025-07-23,280.25,282.84,278.68,279.11,200190,5584120.0,0.13
2025-07-24,281.09,281.29,275.0,277.29,223891,6210230.0,-0.65
2025-07-25,277.29,277.29,273.84,274.89,134326,3688030.0,-0.87
2025-07-28,275.11,281.18,273.39,278.39,238973,6653720.0,1.27
2025-07-29,278.79,284.09,278.77,283.91,233946,6630390.0,1.98
2025-07-30,284.29,284.29,268.45,269.18,415943,11227000.0,-5.19
2025-07-31,272.89,274.07,256.71,256.71,447104,11518100.0,-4.63
2025-08-01,256.89,258.69,254.84,255.16,252500,6446600.0,-0.6
2025-08-04,255.09,260.09,253.79,258.57,237682,6145100.0,1.34
2025-08-05,259.59,261.09,255.59,257.79,219760,5669300.0,-0.3
2025-08-06,257.31,258.99,255.32,257.09,153233,3933140.0,-0.27
2025-08-07,257.09,258.58,254.29,255.14,165481,4220090.0,-0.76
2025-08-08,256.09,258.25,254.1,255.57,174282,4453070.0,0.17
2025-08-11,255.57,258.24,254.59,255.75,213309,5455710.0,0.07
2025-08-12,255.59,257.27,249.81,255.34,222407,5667930.0,-0.16
2025-08-13,256.86,267.09,256.6,265.69,394668,10482900.0,4.05
2025-08-14,268.98,274.09,266.57,271.98,371708,10105900.0,2.37
2025-08-15,270.47,274.39,268.19,272.76,241092,6571180.0,0.29
2025-08-18,272.76,277.57,270.11,275.09,285288,7837640.0,0.85
2025-08-19,275.09,276.09,268.31,269.89,244286,6600780.0,-1.89
2025-08-20,270.59,273.08,265.14,272.29,233535,6344480.0,0.89
2025-08-21,272.36,274.89,271.09,272.09,182698,4973400.0,-0.07
2025-08-22,272.02,282.44,271.69,280.27,264219,7374110.0,3.01
2025-08-25,283.09,286.97,279.87,283.37,312297,8814220.0,1.11
2025-08-26,280.11,284.08,278.67,282.59,230245,6504340.0,-0.28
2025-08-27,282.09,282.63,271.28,271.39,382584,10415300.0,-3.96
2025-08-28,269.15,272.08,265.81,270.5,304664,8229620.0,-0.33
2025-08-29,271.4,309.75,271.04,299.27,780139,23164400.0,10.64
2025-09-01,299.59,299.99,292.39,297.09,429964,12758100.0,-0.73
2025-09-02,297.12,304.19,292.12,295.96,371169,10985600.0,-0.38
2025-09-03,296.59,304.74,296.12,302.09,508975,15357900.0,2.07
2025-09-04,306.56,316.42,293.72,297.12,657548,19641900.0,-1.65
2025-09-05,292.99,318.2,292.91,318.2,708198,22335100.0,7.1
2025-09-08,327.09,330.74,316.59,318.46,588346,18819300.0,0.08
2025-09-09,315.89,327.67,310.25,313.09,434024,13618200.0,-1.69
2025-09-10,311.08,315.09,306.09,309.13,367527,11382600.0,-1.26
2025-09-11,308.64,316.07,302.13,315.64,380345,11969300.0,2.11
2025-09-12,318.99,322.99,315.29,318.09,338713,10782400.0,0.78
2025-09-15,339.1,364.61,337.11,347.79,718410,24894600.0,9.34
2025-09-16,349.2,352.09,341.59,346.51,377445,13088700.0,-0.37
2025-09-17,349.89,374.97,347.09,370.19,543771,20069700.0,6.83
2025-09-18,367.68,373.09,353.89,359.98,518897,18655000.0,-2.76
2025-09-19,358.09,368.8,354.81,361.58,339149,12242300.0,0.44
2025-09-22,363.59,365.81,355.87,363.14,285278,10331400.0,0.43
2025-09-23,361.09,370.05,353.09,361.24,348493,12590300.0,-0.52
2025-09-24,364.09,373.09,359.15,373.02,383145,14247700.0,3.26
2025-09-25,369.69,395.68,369.56,385.94,466393,17941100.0,3.46
2025-09-26,385.11,393.08,373.09,373.49,362633,13556400.0,-3.23
2025-09-29,379.43,392.98,379.1,390.46,389647,15180400.0,4.54
2025-09-30,389.09,401.97,389.09,395.09,330313,13067200.0,1.19
2025-10-09,393.07,417.45,392.83,402.98,412088,16625200.0,2.0
2025-10-10,394.09,396.89,372.1,375.04,533118,19976800.0,-6.93
2025-10-13,355.95,377.69,355.95,367.59,471510,17347700.0,-1.99
2025-10-14,374.09,378.89,348.86,351.09,496399,17555700.0,-4.49
2025-10-15,351.59,362.8,347.85,362.39,369934,13364100.0,3.22
2025-10-16,360.59,366.99,357.59,361.59,276295,9986100.0,-0.22
2025-10-17,360.59,368.09,350.08,351.23,319058,11227300.0,-2.87
2025-10-20,358.09,361.98,352.62,359.59,284324,10214800.0,2.38
2025-10-21,366.09,374.44,356.19,368.99,446329,16436800.0,2.61
2025-10-22,368.99,371.97,361.29,365.95,219459,8029100.0,-0.82
2025-10-23,366.89,371.89,362.09,369.54,239981,8860500.0,0.98
2025-10-24,373.06,380.89,371.09,378.86,320416,12122200.0,2.52
2025-10-27,386.09,386.09,369.66,379.27,404510,15338700.0,0.11
2025-10-28,379.25,386.89,376.11,379.57,287083,10896400.0,0.08
2025-10-29,379.09,393.13,377.79,393.09,344740,13497900.0,3.56
2025-10-30,399.07,402.17,389.92,391.38,343061,13420100.0,-0.44
2025-10-31,391.09,399.89,381.29,381.86,340484,12998800.0,-2.43
2025-11-03,380.09,385.0,368.86,379.95,263682,10011800.0,-0.5
2025-11-04,376.15,379.59,367.09,372.04,239391,8905800.0,-2.08
2025-11-05,365.94,386.09,365.09,381.79,311425,11834700.0,2.62
2025-11-06,383.09,392.58,381.79,387.77,234475,9089600.0,1.57
2025-11-07,386.59,390.6,381.97,388.46,165549,6426500.0,0.18
2025-11-10,391.49,393.4,376.41,377.6,238960,9035800.0,-2.8
2025-11-11,379.09,387.86,377.59,378.69,193032,7310600.0,0.29
2025-11-12,383.87,386.08,377.07,379.47,212998,8081600.0,0.21
2025-11-13,378.14,414.39,378.14,408.69,562654,22801300.0,7.7
2025-11-14,400.09,407.69,396.97,397.21,241721,9603900.0,-2.81
2025-11-17,381.09,385.49,375.59,383.87,476855,18294400.0,-3.36
2025-11-18,382.09,391.72,374.09,378.09,395658,15003600.0,-1.51
2025-11-19,378.59,391.53,378.05,384.19,292667,11240300.0,1.61
2025-11-20,387.99,388.09,370.1,372.48,336743,12574000.0,-3.05
2025-11-21,368.09,376.09,363.09,363.09,316313,11510500.0,-2.52
2025-11-24,366.89,367.99,360.27,363.64,228458,8308100.0,0.15
2025-11-25,368.09,372.75,363.68,365.45,206332,7539600.0,0.5
2025-11-26,368.59,368.59,363.16,365.91,189107,6919500.0,0.13
2025-11-27,366.09,371.97,363.09,364.29,222003,8088100.0,-0.44
2025-11-28,363.59,368.57,359.25,366.29,203403,7445200.0,0.55
2025-12-01,367.85,376.06,367.12,376.06,267510,10027400.0,2.67
2025-12-02,376.59,378.07,370.49,373.17,163485,6101700.0,-0.77
2025-12-03,373.18,376.46,368.09,369.17,139911,5166400.0,-1.07
2025-12-04,372.28,376.69,368.24,376.44,191658,7203700.0,1.97
2025-12-05,380.29,382.4,375.09,382.18,232916,8892200.0,1.53
2025-12-08,383.52,388.47,378.59,385.59,216598,8352900.0,0.89
2025-12-09,384.59,385.35,379.09,380.68,186918,7115900.0,-1.27
2025-12-10,378.14,381.09,370.35,375.47,194334,7298200.0,-1.37
2025-12-11,377.99,391.95,376.47,382.08,282154,10773000.0,1.76
2025-12-12,385.09,386.48,378.59,384.89,240020,9231900.0,0.74
2025-12-15,384.59,388.06,378.3,378.59,182750,6922400.0,-1.64
2025-12-16,379.09,382.17,371.12,371.5,191217,7110200.0,-1.87
2025-12-17,369.54,377.59,368.15,376.51,222574,8366500.0,1.35
2025-12-18,372.66,374.04,363.1,365.09,296393,10809800.0,-3.03
2025-12-19,367.17,370.77,363.89,367.09,175599,6446000.0,0.55
2025-12-22,369.09,371.08,361.19,364.93,254935,9307800.0,-0.59
2025-12-23,365.09,373.59,364.69,371.19,236041,8755400.0,1.72
2025-12-24,371.17,371.17,365.09,368.69,210884,7770700.0,-0.67
2025-12-25,367.3,367.3,362.21,366.1,203431,7442700.0,-0.7
2025-12-26,366.05,371.09,363.19,367.52,257237,9445200.0,0.39
2025-12-29,367.09,367.52,361.09,362.4,241241,8742200.0,-1.39
2025-12-30,360.19,364.09,359.65,362.29,190308,6893000.0,-0.03
2025-12-31,362.88,365.09,360.24,360.35,160266,5777000.0,-0.54
