entry_period,exit_period,total_ret,ann_ret,max_dd,sharpe,win_rate,n_trades,profit_factor
10,5,-0.15430189999999958,-0.026692628814328434,-0.21972945762725613,-0.5773620285163454,0.4,20,0.5123076923076922
20,5,-0.28869600000000023,-0.0535088821896772,-0.3318304848536884,-1.0252366707174194,0.3157894736842105,19,0.23265379113018594
20,10,-0.22361520000000004,-0.04003679534994031,-0.2705059812821551,-0.823279715698368,0.25,12,0.1518179295031918
30,5,-0.2909603000000001,-0.053995931908259576,-0.3136332794268437,-1.1142435819568568,0.25,16,0.16758974358974355
30,10,-0.2268662999999999,-0.0406868791250935,-0.23608461967742844,-0.9254660751144415,0.3,10,0.11593304401735897
30,20,-0.18246199999999982,-0.03199918582762851,-0.19220976630800785,-0.7422940145469842,0.16666666666666666,6,0.00513039760581445
55,5,-0.2283049000000002,-0.04097527069051965,-0.24668974550306558,-1.209799675290935,0.18181818181818182,11,0.09692923898531373
55,10,-0.2667329999999999,-0.04885091017077614,-0.27547597629880693,-1.6282725128603395,0.0,8,0.0
55,20,-0.2083398999999999,-0.03701259609695051,-0.21777911585317647,-1.3293780752014792,0.0,5,0.0
